"word"	"frequency"	"included"
"c--------"	80342	TRUE
"r--------"	65113	TRUE
"d--------"	28804	TRUE
"n-s---mn-"	23607	TRUE
"v3saia---"	18390	TRUE
"n-s---mg-"	17454	TRUE
"n-s---fa-"	15925	TRUE
"n-s---ma-"	14242	TRUE
"n-s---fg-"	13731	TRUE
"b--------"	12558	TRUE
"l-s---mn-"	11375	TRUE
"p-s---cg-"	11214	TRUE
"p-s---mg-"	11104	TRUE
"n-s---fn-"	9196	TRUE
"l-s---ma-"	8927	TRUE
"l-s---mg-"	8838	TRUE
"l-s---fa-"	8693	TRUE
"n--------"	8588	TRUE
"n-s---fd-"	7839	TRUE
"n-s---na-"	7736	TRUE
"l-s---fg-"	7288	TRUE
"n-s---md-"	7116	TRUE
"v3spia---"	6631	TRUE
"v3paia---"	6624	TRUE
"p-p---mg-"	5943	TRUE
"l-s---na-"	5823	TRUE
"g--------"	5806	TRUE
"l-p---mn-"	5715	TRUE
"n-p---mn-"	5613	TRUE
"l-s---md-"	5493	TRUE
"p-s---ma-"	5353	TRUE
"n-p---mg-"	5082	TRUE
"n-p---ma-"	4989	TRUE
"n-p---fa-"	4821	TRUE
"n-p---na-"	4792	TRUE
"v--ana---"	4792	TRUE
"l-s---fn-"	4759	TRUE
"l-p---mg-"	4657	TRUE
"n-s---ng-"	4380	TRUE
"n-s---nn-"	4375	TRUE
"l-p---na-"	4359	TRUE
"n-s---m--"	4329	TRUE
"l-s---fd-"	4322	TRUE
"l-p---ma-"	4199	TRUE
"l-s---ng-"	4077	TRUE
"a-s---mn-"	4076	TRUE
"p-s---md-"	4010	TRUE
"p-p---ma-"	3819	TRUE
"p-s---ca-"	3728	TRUE
"v-sppamn-"	3585	TRUE
"p-s---cn-"	3498	TRUE
"p-s---mn-"	3441	TRUE
"m--------"	3431	TRUE
"p-p---na-"	3400	TRUE
"v3sfim---"	3334	TRUE
"p-s---na-"	3292	TRUE
"v3sfia---"	3254	TRUE
"p-p---cg-"	3165	TRUE
"v3saip---"	3049	TRUE
"p-s---fg-"	2968	TRUE
"n-s---nd-"	2849	TRUE
"l-p---md-"	2684	TRUE
"p-s---fa-"	2679	TRUE
"v3saim---"	2657	TRUE
"p-s---cd-"	2617	TRUE
"l-p---fa-"	2600	TRUE
"l-s---nn-"	2588	TRUE
"p-p---md-"	2572	TRUE
"v3siia---"	2566	TRUE
"v2sama---"	2530	TRUE
"n-p---ng-"	2497	TRUE
"a-p---mn-"	2493	TRUE
"v--pna---"	2480	TRUE
"n-p---md-"	2453	TRUE
